slice_identifier,sample_index,n_slices_expected,n_slices_real,first_slice,last_slice,mix,detector
slice00001,1,50,50,1,50,1,1
slice00002,1,50,50,1,50,1,1
slice00003,1,50,50,1,50,1,1
slice00004,1,50,50,1,50,1,1
slice00005,1,50,50,1,50,1,1
slice00006,1,50,50,1,50,1,1
slice00007,1,50,50,1,50,1,1
slice00008,1,50,50,1,50,1,1
slice00009,1,50,50,1,50,1,1
slice00010,1,50,50,1,50,1,1
slice00011,1,50,50,1,50,1,1
slice00012,1,50,50,1,50,1,1
slice00013,1,50,50,1,50,1,1
slice00014,1,50,50,1,50,1,1
slice00015,1,50,50,1,50,1,1
slice00016,1,50,50,1,50,1,1
slice00017,1,50,50,1,50,1,1
slice00018,1,50,50,1,50,1,1
slice00019,1,50,50,1,50,1,1
slice00020,1,50,50,1,50,1,1
slice00021,1,50,50,1,50,1,1
slice00022,1,50,50,1,50,1,1
slice00023,1,50,50,1,50,1,1
slice00024,1,50,50,1,50,1,1
slice00025,1,50,50,1,50,1,1
slice00026,1,50,50,1,50,1,1
slice00027,1,50,50,1,50,1,1
slice00028,1,50,50,1,50,1,1
slice00029,1,50,50,1,50,1,1
slice00030,1,50,50,1,50,1,1
slice00031,1,50,50,1,50,1,1
slice00032,1,50,50,1,50,1,1
slice00033,1,50,50,1,50,1,1
slice00034,1,50,50,1,50,1,1
slice00035,1,50,50,1,50,1,1
slice00036,1,50,50,1,50,1,1
slice00037,1,50,50,1,50,1,1
slice00038,1,50,50,1,50,1,1
slice00039,1,50,50,1,50,1,1
slice00040,1,50,50,1,50,1,1
slice00041,1,50,50,1,50,1,1
slice00042,1,50,50,1,50,1,1
slice00043,1,50,50,1,50,1,1
slice00044,1,50,50,1,50,1,1
slice00045,1,50,50,1,50,1,1
slice00046,1,50,50,1,50,1,1
slice00047,1,50,50,1,50,1,1
slice00048,1,50,50,1,50,1,1
slice00049,1,50,50,1,50,1,1
slice00050,1,50,50,1,50,1,1
slice00051,2,40,40,51,90,1,1
slice00052,2,40,40,51,90,1,1
slice00053,2,40,40,51,90,1,1
slice00054,2,40,40,51,90,1,1
slice00055,2,40,40,51,90,1,1
slice00056,2,40,40,51,90,1,1
slice00057,2,40,40,51,90,1,1
slice00058,2,40,40,51,90,1,1
slice00059,2,40,40,51,90,1,1
slice00060,2,40,40,51,90,1,1
slice00061,2,40,40,51,90,1,1
slice00062,2,40,40,51,90,1,1
slice00063,2,40,40,51,90,1,1
slice00064,2,40,40,51,90,1,1
slice00065,2,40,40,51,90,1,1
slice00066,2,40,40,51,90,1,1
slice00067,2,40,40,51,90,1,1
slice00068,2,40,40,51,90,1,1
slice00069,2,40,40,51,90,1,1
slice00070,2,40,40,51,90,1,1
slice00071,2,40,40,51,90,1,1
slice00072,2,40,40,51,90,1,1
slice00073,2,40,40,51,90,1,1
slice00074,2,40,40,51,90,1,1
slice00075,2,40,40,51,90,1,1
slice00076,2,40,40,51,90,1,1
slice00077,2,40,40,51,90,1,1
slice00078,2,40,40,51,90,1,1
slice00079,2,40,40,51,90,1,1
slice00080,2,40,40,51,90,1,1
slice00081,2,40,40,51,90,1,1
slice00082,2,40,40,51,90,1,1
slice00083,2,40,40,51,90,1,1
slice00084,2,40,40,51,90,1,1
slice00085,2,40,40,51,90,1,1
slice00086,2,40,40,51,90,1,1
slice00087,2,40,40,51,90,1,1
slice00088,2,40,40,51,90,1,1
slice00089,2,40,40,51,90,1,1
slice00090,2,40,40,51,90,1,1
slice00091,3,50,50,91,140,1,1
slice00092,3,50,50,91,140,1,1
slice00093,3,50,50,91,140,1,1
slice00094,3,50,50,91,140,1,1
slice00095,3,50,50,91,140,1,1
slice00096,3,50,50,91,140,1,1
slice00097,3,50,50,91,140,1,1
slice00098,3,50,50,91,140,1,1
slice00099,3,50,50,91,140,1,1
slice00100,3,50,50,91,140,1,1
slice00101,3,50,50,91,140,1,1
slice00102,3,50,50,91,140,1,1
slice00103,3,50,50,91,140,1,1
slice00104,3,50,50,91,140,1,1
slice00105,3,50,50,91,140,1,1
slice00106,3,50,50,91,140,1,1
slice00107,3,50,50,91,140,1,1
slice00108,3,50,50,91,140,1,1
slice00109,3,50,50,91,140,1,1
slice00110,3,50,50,91,140,1,1
slice00111,3,50,50,91,140,1,1
slice00112,3,50,50,91,140,1,1
slice00113,3,50,50,91,140,1,1
slice00114,3,50,50,91,140,1,1
slice00115,3,50,50,91,140,1,1
slice00116,3,50,50,91,140,1,1
slice00117,3,50,50,91,140,1,1
slice00118,3,50,50,91,140,1,1
slice00119,3,50,50,91,140,1,1
slice00120,3,50,50,91,140,1,1
slice00121,3,50,50,91,140,1,1
slice00122,3,50,50,91,140,1,1
slice00123,3,50,50,91,140,1,1
slice00124,3,50,50,91,140,1,1
slice00125,3,50,50,91,140,1,1
slice00126,3,50,50,91,140,1,1
slice00127,3,50,50,91,140,1,1
slice00128,3,50,50,91,140,1,1
slice00129,3,50,50,91,140,1,1
slice00130,3,50,50,91,140,1,1
slice00131,3,50,50,91,140,1,1
slice00132,3,50,50,91,140,1,1
slice00133,3,50,50,91,140,1,1
slice00134,3,50,50,91,140,1,1
slice00135,3,50,50,91,140,1,1
slice00136,3,50,50,91,140,1,1
slice00137,3,50,50,91,140,1,1
slice00138,3,50,50,91,140,1,1
slice00139,3,50,50,91,140,1,1
slice00140,3,50,50,91,140,1,1
slice00141,4,40,20,141,160,1,1
slice00142,4,40,20,141,160,1,1
slice00143,4,40,20,141,160,1,1
slice00144,4,40,20,141,160,1,1
slice00145,4,40,20,141,160,1,1
slice00146,4,40,20,141,160,1,1
slice00147,4,40,20,141,160,1,1
slice00148,4,40,20,141,160,1,1
slice00149,4,40,20,141,160,1,1
slice00150,4,40,20,141,160,1,1
slice00151,4,40,20,141,160,1,1
slice00152,4,40,20,141,160,1,1
slice00153,4,40,20,141,160,1,1
slice00154,4,40,20,141,160,1,1
slice00155,4,40,20,141,160,1,1
slice00156,4,40,20,141,160,1,1
slice00157,4,40,20,141,160,1,1
slice00158,4,40,20,141,160,1,1
slice00159,4,40,20,141,160,1,1
slice00160,4,40,20,141,160,1,1
slice00161,5,50,50,161,210,1,1
slice00162,5,50,50,161,210,1,1
slice00163,5,50,50,161,210,1,1
slice00164,5,50,50,161,210,1,1
slice00165,5,50,50,161,210,1,1
slice00166,5,50,50,161,210,1,1
slice00167,5,50,50,161,210,1,1
slice00168,5,50,50,161,210,1,1
slice00169,5,50,50,161,210,1,1
slice00170,5,50,50,161,210,1,1
slice00171,5,50,50,161,210,1,1
slice00172,5,50,50,161,210,1,1
slice00173,5,50,50,161,210,1,1
slice00174,5,50,50,161,210,1,1
slice00175,5,50,50,161,210,1,1
slice00176,5,50,50,161,210,1,1
slice00177,5,50,50,161,210,1,1
slice00178,5,50,50,161,210,1,1
slice00179,5,50,50,161,210,1,1
slice00180,5,50,50,161,210,1,1
slice00181,5,50,50,161,210,1,1
slice00182,5,50,50,161,210,1,1
slice00183,5,50,50,161,210,1,1
slice00184,5,50,50,161,210,1,1
slice00185,5,50,50,161,210,1,1
slice00186,5,50,50,161,210,1,1
slice00187,5,50,50,161,210,1,1
slice00188,5,50,50,161,210,1,1
slice00189,5,50,50,161,210,1,1
slice00190,5,50,50,161,210,1,1
slice00191,5,50,50,161,210,1,1
slice00192,5,50,50,161,210,1,1
slice00193,5,50,50,161,210,1,1
slice00194,5,50,50,161,210,1,1
slice00195,5,50,50,161,210,1,1
slice00196,5,50,50,161,210,1,1
slice00197,5,50,50,161,210,1,1
slice00198,5,50,50,161,210,1,1
slice00199,5,50,50,161,210,1,1
slice00200,5,50,50,161,210,1,1
slice00201,5,50,50,161,210,1,1
slice00202,5,50,50,161,210,1,1
slice00203,5,50,50,161,210,1,1
slice00204,5,50,50,161,210,1,1
slice00205,5,50,50,161,210,1,1
slice00206,5,50,50,161,210,1,1
slice00207,5,50,50,161,210,1,1
slice00208,5,50,50,161,210,1,1
slice00209,5,50,50,161,210,1,1
slice00210,5,50,50,161,210,1,1
slice00211,6,50,50,211,260,1,1
slice00212,6,50,50,211,260,1,1
slice00213,6,50,50,211,260,1,1
slice00214,6,50,50,211,260,1,1
slice00215,6,50,50,211,260,1,1
slice00216,6,50,50,211,260,1,1
slice00217,6,50,50,211,260,1,1
slice00218,6,50,50,211,260,1,1
slice00219,6,50,50,211,260,1,1
slice00220,6,50,50,211,260,1,1
slice00221,6,50,50,211,260,1,1
slice00222,6,50,50,211,260,1,1
slice00223,6,50,50,211,260,1,1
slice00224,6,50,50,211,260,1,1
slice00225,6,50,50,211,260,1,1
slice00226,6,50,50,211,260,1,1
slice00227,6,50,50,211,260,1,1
slice00228,6,50,50,211,260,1,1
slice00229,6,50,50,211,260,1,1
slice00230,6,50,50,211,260,1,1
slice00231,6,50,50,211,260,1,1
slice00232,6,50,50,211,260,1,1
slice00233,6,50,50,211,260,1,1
slice00234,6,50,50,211,260,1,1
slice00235,6,50,50,211,260,1,1
slice00236,6,50,50,211,260,1,1
slice00237,6,50,50,211,260,1,1
slice00238,6,50,50,211,260,1,1
slice00239,6,50,50,211,260,1,1
slice00240,6,50,50,211,260,1,1
slice00241,6,50,50,211,260,1,1
slice00242,6,50,50,211,260,1,1
slice00243,6,50,50,211,260,1,1
slice00244,6,50,50,211,260,1,1
slice00245,6,50,50,211,260,1,1
slice00246,6,50,50,211,260,1,1
slice00247,6,50,50,211,260,1,1
slice00248,6,50,50,211,260,1,1
slice00249,6,50,50,211,260,1,1
slice00250,6,50,50,211,260,1,1
slice00251,6,50,50,211,260,1,1
slice00252,6,50,50,211,260,1,1
slice00253,6,50,50,211,260,1,1
slice00254,6,50,50,211,260,1,1
slice00255,6,50,50,211,260,1,1
slice00256,6,50,50,211,260,1,1
slice00257,6,50,50,211,260,1,1
slice00258,6,50,50,211,260,1,1
slice00259,6,50,50,211,260,1,1
slice00260,6,50,50,211,260,1,1
slice00261,7,50,50,261,310,1,1
slice00262,7,50,50,261,310,1,1
slice00263,7,50,50,261,310,1,1
slice00264,7,50,50,261,310,1,1
slice00265,7,50,50,261,310,1,1
slice00266,7,50,50,261,310,1,1
slice00267,7,50,50,261,310,1,1
slice00268,7,50,50,261,310,1,1
slice00269,7,50,50,261,310,1,1
slice00270,7,50,50,261,310,1,1
slice00271,7,50,50,261,310,1,1
slice00272,7,50,50,261,310,1,1
slice00273,7,50,50,261,310,1,1
slice00274,7,50,50,261,310,1,1
slice00275,7,50,50,261,310,1,1
slice00276,7,50,50,261,310,1,1
slice00277,7,50,50,261,310,1,1
slice00278,7,50,50,261,310,1,1
slice00279,7,50,50,261,310,1,1
slice00280,7,50,50,261,310,1,1
slice00281,7,50,50,261,310,1,1
slice00282,7,50,50,261,310,1,1
slice00283,7,50,50,261,310,1,1
slice00284,7,50,50,261,310,1,1
slice00285,7,50,50,261,310,1,1
slice00286,7,50,50,261,310,1,1
slice00287,7,50,50,261,310,1,1
slice00288,7,50,50,261,310,1,1
slice00289,7,50,50,261,310,1,1
slice00290,7,50,50,261,310,1,1
slice00291,7,50,50,261,310,1,1
slice00292,7,50,50,261,310,1,1
slice00293,7,50,50,261,310,1,1
slice00294,7,50,50,261,310,1,1
slice00295,7,50,50,261,310,1,1
slice00296,7,50,50,261,310,1,1
slice00297,7,50,50,261,310,1,1
slice00298,7,50,50,261,310,1,1
slice00299,7,50,50,261,310,1,1
slice00300,7,50,50,261,310,1,1
slice00301,7,50,50,261,310,1,1
slice00302,7,50,50,261,310,1,1
slice00303,7,50,50,261,310,1,1
slice00304,7,50,50,261,310,1,1
slice00305,7,50,50,261,310,1,1
slice00306,7,50,50,261,310,1,1
slice00307,7,50,50,261,310,1,1
slice00308,7,50,50,261,310,1,1
slice00309,7,50,50,261,310,1,1
slice00310,7,50,50,261,310,1,1
slice00311,8,50,20,311,330,1,1
slice00312,8,50,20,311,330,1,1
slice00313,8,50,20,311,330,1,1
slice00314,8,50,20,311,330,1,1
slice00315,8,50,20,311,330,1,1
slice00316,8,50,20,311,330,1,1
slice00317,8,50,20,311,330,1,1
slice00318,8,50,20,311,330,1,1
slice00319,8,50,20,311,330,1,1
slice00320,8,50,20,311,330,1,1
slice00321,8,50,20,311,330,1,1
slice00322,8,50,20,311,330,1,1
slice00323,8,50,20,311,330,1,1
slice00324,8,50,20,311,330,1,1
slice00325,8,50,20,311,330,1,1
slice00326,8,50,20,311,330,1,1
slice00327,8,50,20,311,330,1,1
slice00328,8,50,20,311,330,1,1
slice00329,8,50,20,311,330,1,1
slice00330,8,50,20,311,330,1,1
slice00331,9,50,50,331,380,1,1
slice00332,9,50,50,331,380,1,1
slice00333,9,50,50,331,380,1,1
slice00334,9,50,50,331,380,1,1
slice00335,9,50,50,331,380,1,1
slice00336,9,50,50,331,380,1,1
slice00337,9,50,50,331,380,1,1
slice00338,9,50,50,331,380,1,1
slice00339,9,50,50,331,380,1,1
slice00340,9,50,50,331,380,1,1
slice00341,9,50,50,331,380,1,1
slice00342,9,50,50,331,380,1,1
slice00343,9,50,50,331,380,1,1
slice00344,9,50,50,331,380,1,1
slice00345,9,50,50,331,380,1,1
slice00346,9,50,50,331,380,1,1
slice00347,9,50,50,331,380,1,1
slice00348,9,50,50,331,380,1,1
slice00349,9,50,50,331,380,1,1
slice00350,9,50,50,331,380,1,1
slice00351,9,50,50,331,380,1,1
slice00352,9,50,50,331,380,1,1
slice00353,9,50,50,331,380,1,1
slice00354,9,50,50,331,380,1,1
slice00355,9,50,50,331,380,1,1
slice00356,9,50,50,331,380,1,1
slice00357,9,50,50,331,380,1,1
slice00358,9,50,50,331,380,1,1
slice00359,9,50,50,331,380,1,1
slice00360,9,50,50,331,380,1,1
slice00361,9,50,50,331,380,1,1
slice00362,9,50,50,331,380,1,1
slice00363,9,50,50,331,380,1,1
slice00364,9,50,50,331,380,1,1
slice00365,9,50,50,331,380,1,1
slice00366,9,50,50,331,380,1,1
slice00367,9,50,50,331,380,1,1
slice00368,9,50,50,331,380,1,1
slice00369,9,50,50,331,380,1,1
slice00370,9,50,50,331,380,1,1
slice00371,9,50,50,331,380,1,1
slice00372,9,50,50,331,380,1,1
slice00373,9,50,50,331,380,1,1
slice00374,9,50,50,331,380,1,1
slice00375,9,50,50,331,380,1,1
slice00376,9,50,50,331,380,1,1
slice00377,9,50,50,331,380,1,1
slice00378,9,50,50,331,380,1,1
slice00379,9,50,50,331,380,1,1
slice00380,9,50,50,331,380,1,1
slice00381,10,50,50,381,430,1,1
slice00382,10,50,50,381,430,1,1
